,Unnamed: 0.1,Unnamed: 0,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
0,0,0,-0.4549431417625468,-0.1877698710541638,-0.1969380219761025,-0.1234910233877079,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,46.0,15.0,9.0,1.0,3.06,0
1,1,1,-0.4549431417625468,-0.1877698710541638,-0.1969380219761025,-0.1030375040068672,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,46.0,15.0,9.0,1.0,1.0,0.757989206
2,2,2,1.601355017819858,0.0320590418186185,0.2737299015630668,-0.1746248218398096,-0.5251573428569705,-0.5935094182429437,-0.9970068536845296,6.0,71.0,15.0,9.0,1.0,1.0,0.58306862
3,3,3,1.768533729981029,0.0470473767872174,0.2851301626868529,-0.0314501861739249,-0.5251573428569705,-0.5935094182429437,-0.9970068536845296,6.0,47.0,15.0,9.0,1.0,2.37,0
7,7,7,-0.8192534186804323,-0.4519392748757179,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,40.0,15.0,9.0,1.0,12.0,1.819174095
8,8,8,-0.8210645213955117,-0.4519392748757179,-0.2683253713940965,-0.7456870829528814,-0.5251573428569705,-0.6900376601690774,-0.9970068536845296,1.0,32.0,15.0,9.0,1.0,3.0,1.515978412
9,9,9,0.5704196261593028,0.0470473767872174,0.0028379824788159,-0.276892418744013,0.5123439438808612,-0.5355924730872634,-0.1763746768188848,1.0,44.0,15.0,9.0,4.0,7.0,4.244739555
10,10,10,0.5704196261593028,0.0470473767872174,0.0028379824788159,-0.276892418744013,0.5123439438808612,-0.5355924730872634,-0.1763746768188848,1.0,33.0,15.0,9.0,4.0,15.0,4.244739555
15,15,15,-0.7948731898235948,-0.2277387643037607,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,73.0,10.0,9.0,1.0,2.32,1.576617549
16,16,16,-0.7129556208646209,-0.3276609974277527,-0.2658607435130495,0.2379226640717468,-0.5251573428569705,-0.014339966686141,-0.1763746768188848,1.0,44.0,7.0,9.0,1.0,1.7,17.91610851
18,18,18,-0.7670100711300663,-0.2027582060227627,-0.2414533273166007,0.0299103719685971,-0.5251573428569705,-0.680384835976464,-0.1763746768188848,1.0,34.0,1.0,9.0,1.0,93.2,0
19,19,19,-0.7670100711300663,0.0470473767872174,-0.2143098484504433,0.0299103719685971,-0.5251573428569705,-0.680384835976464,-0.1763746768188848,1.0,34.0,1.0,9.0,1.0,80.3,0
20,20,20,-0.7670100711300663,0.5466585424071776,-0.1600228907181285,0.0299103719685971,-0.5251573428569705,-0.680384835976464,-0.1763746768188848,1.0,34.0,1.0,9.0,1.0,52.8,0
21,21,21,-0.7670100711300663,-0.2027582060227627,-0.2414533273166007,0.0299103719685971,-0.5251573428569705,-0.680384835976464,-0.1763746768188848,1.0,45.0,5.0,9.0,1.0,68.23,0
22,22,22,-0.7670100711300663,0.0470473767872174,-0.2143098484504433,0.0299103719685971,-0.5251573428569705,-0.680384835976464,-0.1763746768188848,1.0,45.0,5.0,9.0,1.0,67.24,0
23,23,23,-0.7670100711300663,0.5466585424071776,-0.1600228907181285,0.0299103719685971,-0.5251573428569705,-0.680384835976464,-0.1763746768188848,1.0,45.0,5.0,9.0,1.0,29.6,0
25,25,25,0.319651557917546,-0.3676298906773496,-0.0514489752534988,-0.5836952094566232,-0.3176570855094041,1.607334497672906,-0.1763746768188848,1.0,0.0,15.0,9.0,5.0,7.0,3.031956825
26,26,26,-0.2654739346465528,-0.1527970894607667,-0.2143098484504433,-0.6859628063608266,-0.2139069568356209,4.850683426391001,-0.1763746768188848,1.0,62.0,15.0,9.0,4.0,3.466666666666667,14
27,27,27,-0.8171636847784176,-0.4500057796647686,-0.2683188569591687,-0.5877859133327913,-0.5251573428569705,-0.6610791875912373,-0.1763746768188848,1.0,58.0,8.0,9.0,1.0,21.94,0
28,28,28,-0.8157705288437411,-0.450065733004643,-0.2683253713940965,-0.5836952094566232,-0.5251573428569705,0.4489955945593009,2.6137747245243075,1.0,81.0,16.0,9.0,1.0,45.0,0
29,29,29,0.319651557917546,0.1619579448798082,-0.2468820230898322,-0.7677768838841893,-0.3176570855094041,1.143998936427464,-0.1763746768188848,1.0,16.0,15.0,9.0,5.0,2.0,0
35,35,35,-0.7817775240376365,-0.4467682993115513,-0.2679670774730633,0.240581621591256,-0.5251573428569705,-0.6900376601690774,2.2855218537780497,1.0,81.0,16.0,9.0,1.0,45.0,0
36,36,36,-0.8157705288437411,0.0470473767872174,-0.2681082235631672,-0.574491125735245,-0.5251573428569705,-0.5935094182429437,-0.0122482414457558,1.0,29.0,15.0,9.0,1.0,2.0,0
37,37,37,-0.8213431525824468,-0.3776221139897487,-0.2685958757043026,-0.7433144747047039,-0.5251573428569705,-0.3618416376202226,-0.0122482414457558,1.0,28.0,15.0,9.0,1.0,2.0,0
38,38,38,-0.6332671014011294,-0.4260843970548849,-0.2343960228113998,-0.4814276125524198,-0.4927873027107501,0.680663375182022,-0.1763746768188848,1.0,68.0,15.0,9.0,5.0,1.98,0
41,41,41,-0.8157705288437411,0.0470473767872174,-0.2681082235631672,-0.5693777458900348,-0.5251573428569705,-0.4776755279315831,-0.0122482414457558,1.0,29.0,15.0,9.0,1.0,2.5,0
